number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
27,31.312717900000003,2026-07-21 10:24:38.572070,2026-07-21 10:28:48.286577,0 days 00:04:09.714507,256,0.2,2.8393193897016853e-07,1.0,0.0025231723651794303,1.0,20,2048,0.01789163699555091,0.25,249.4446698190004,0.982108363004449,2.0,-61.58402715000001,92.89674505000002,"[124.20946295000002, -61.58402715000001]",COMPLETE
28,-145.8556033,2026-07-21 10:25:04.768340,2026-07-21 10:27:42.627695,0 days 00:02:37.859355,256,0.1,3.386273586644976e-07,1.0,0.0002813107592282133,1.0,20,2048,0.0016930919741814205,0.25,,,,,,,PRUNED
29,-143.98016709999996,2026-07-21 10:25:20.016284,2026-07-21 10:25:45.486939,0 days 00:00:25.470655,256,0.1,3.8466798963661834e-07,1.0,5.520682897939165e-05,1.0,3,2048,0.001515900700490059,0.25,,,,,,,PRUNED
30,140.53948002500002,2026-07-21 10:25:28.513492,2026-07-21 10:30:35.651533,0 days 00:05:07.138041,64,0.1,3.276836827590628e-07,0.95,0.0029583359048904407,1.0,20,2048,0.0001001096286721764,0.25,307.00473479999346,0.9998998903713279,2.0,53.634279500000005,86.90520052500001,"[53.634279500000005, 227.44468055000002]",COMPLETE
31,149.730696075,2026-07-21 10:25:37.413214,2026-07-21 10:30:38.565909,0 days 00:05:01.152695,64,0.1,4.2124709264997415e-07,0.95,0.002181608420681025,1.0,20,2048,0.00010940311918591874,0.25,301.08075961397844,0.999890596880814,2.0,129.05956535,20.671130724999983,"[170.40182679999998, 129.05956535]",COMPLETE
32,-740.8939381,2026-07-21 10:25:39.240236,2026-07-21 10:26:47.865191,0 days 00:01:08.624955,64,0.1,4.202349678029666e-07,0.95,5.4388576386723196e-05,1.0,20,2048,0.00012136218858656704,0.25,,,,,,,PRUNED
33,-2018.8440166,2026-07-21 10:25:42.523638,2026-07-21 10:26:08.416171,0 days 00:00:25.892533,64,0.1,0.017478317083758056,0.95,5.152602111051324e-05,1.0,5,2048,0.00010498051437229617,0.5,,,,,,,PRUNED
34,-2167.3216474,2026-07-21 10:25:44.372981,2026-07-21 10:26:26.297385,0 days 00:00:41.924404,64,0.1,0.0008429025912084725,0.95,5.744799606164342e-05,1.0,5,2048,0.00013785213117276668,0.25,,,,,,,PRUNED
35,-1071.9742438,2026-07-21 10:25:45.498854,2026-07-21 10:26:40.080831,0 days 00:00:54.581977,64,0.1,0.0016465582410117208,0.95,0.0007010299134956589,1.0,5,2048,0.00010332296994796016,0.5,,,,,,,PRUNED
36,149.67393505,2026-07-21 10:25:50.249414,2026-07-21 10:29:46.833808,0 days 00:03:56.584394,128,0.1,0.0011994554903220114,0.95,0.0007819539741539772,1.0,20,2048,0.00011678030143261914,1.0,236.51180630200543,0.9998832196985674,2.0,137.24589555,12.428039500000011,"[162.10197455000002, 137.24589555]",COMPLETE
37,-172.3701144,2026-07-21 10:26:01.994107,2026-07-21 10:27:07.438403,0 days 00:01:05.444296,128,0.1,0.0008126279324183748,0.95,0.0007470044152433143,1.0,20,1024,0.0001167504484768263,1.0,,,,,,,PRUNED
38,179.779337925,2026-07-21 10:26:07.407117,2026-07-21 10:29:52.749631,0 days 00:03:45.342514,128,0.1,0.0005890670829040644,0.95,0.0007753518976330976,1.0,20,2048,0.00012056014420575335,1.0,225.2595496790018,0.9998794398557942,2.0,160.5053711,19.273966825000002,"[160.5053711, 199.05330475]",COMPLETE
39,147.110221625,2026-07-21 10:26:08.427099,2026-07-21 10:30:09.955558,0 days 00:04:01.528459,128,0.1,0.00186318819782594,0.98,0.0008732617678161249,1.0,20,1024,0.00016332747606824524,1.0,241.46080283098854,0.9998366725239317,2.0,144.45168925000002,2.658532374999993,"[144.45168925000002, 149.768754]",COMPLETE
40,80.166106875,2026-07-21 10:26:10.259874,2026-07-21 10:30:05.862481,0 days 00:03:55.602607,128,0.1,1.7488230293631398e-06,0.98,0.0007229301049356658,1.0,20,1024,0.00014647622099421692,1.0,235.52617504901718,0.9998535237790058,2.0,55.8248966,24.341210274999987,"[104.50731714999998, 55.8248966]",COMPLETE
41,103.44004354999998,2026-07-21 10:26:26.327265,2026-07-21 10:30:39.024401,0 days 00:04:12.697136,128,0.1,1.8558660449389586e-06,0.98,0.0006351338262405127,1.0,20,1024,0.0005540510999538673,1.0,252.55659222402028,0.9994459489000461,2.0,28.70656555,74.73347799999999,"[178.17352154999998, 28.70656555]",COMPLETE
42,-109.50842990000001,2026-07-21 10:26:40.093194,2026-07-21 10:27:23.900090,0 days 00:00:43.806896,128,0.1,1.503416123374604e-06,0.98,0.0007415706736383171,1.0,20,1024,0.0007501501724836487,1.0,,,,,,,PRUNED
43,-139.4208414,2026-07-21 10:26:47.876678,2026-07-21 10:27:33.307841,0 days 00:00:45.431163,128,0.1,3.038140762946375e-06,0.98,0.000639428020458314,1.0,20,1024,0.0006147436465027812,1.0,,,,,,,PRUNED
44,77.19453762500001,2026-07-21 10:27:07.451295,2026-07-21 10:30:53.614193,0 days 00:03:46.162898,128,0.1,2.1195522318147576e-06,0.98,0.0012383859582852969,0.3,20,1024,0.0006329583369525484,1.0,226.03318228400894,0.9993670416630475,2.0,16.4012563,60.79328132500001,"[16.4012563, 137.98781895000002]",COMPLETE
45,145.0839558,2026-07-21 10:27:23.911440,2026-07-21 10:31:44.813379,0 days 00:04:20.901939,128,0.1,1.8429430470671976e-06,0.98,0.0012331670920352309,0.3,20,1024,0.0004202087386422881,1.0,260.81804783199914,0.9995797912613578,2.0,105.91929150000001,39.1646643,"[105.91929150000001, 184.2486201]",COMPLETE
46,-913.1295701000001,2026-07-21 10:27:33.334165,2026-07-21 10:28:25.675627,0 days 00:00:52.341462,64,0.2,1.4352707259580026e-06,0.98,0.0023346537612431483,0.3,5,1024,0.0022922704348617797,0.5,,,,,,,PRUNED
47,22.336030100000002,2026-07-21 10:27:42.639715,2026-07-21 10:31:05.850608,0 days 00:03:23.210893,64,0.2,1.3940636146291774e-06,0.98,0.002595054231280846,0.3,5,1024,0.000412499150285624,0.5,203.11189977597678,0.9995875008497144,2.0,-38.726769950000005,61.06280005000001,"[83.39883015000001, -38.726769950000005]",COMPLETE
48,-177.23971,2026-07-21 10:27:44.433497,2026-07-21 10:28:08.680971,0 days 00:00:24.247474,64,0.2,1.1372351025290925e-06,0.98,0.0027638908081243888,0.3,5,1024,0.0004134291809586784,0.5,,,,,,,PRUNED
49,-652.6595686,2026-07-21 10:27:53.539496,2026-07-21 10:28:26.476998,0 days 00:00:32.937502,128,0.2,1.0144440349801335e-07,0.9,0.0004404321692786204,0.5,3,512,0.0003519786658670678,0.25,,,,,,,PRUNED
50,-481.2228637,2026-07-21 10:28:08.696751,2026-07-21 10:28:51.615881,0 days 00:00:42.919130,128,0.1,7.32092980604311e-08,0.9,0.001009255502575679,0.5,3,512,0.00017531825064856063,0.25,,,,,,,PRUNED
51,-5.423760449999999,2026-07-21 10:28:11.080944,2026-07-21 10:32:34.030237,0 days 00:04:22.949293,128,0.3,0.009352142361688194,0.9,0.0011089105991419607,0.5,20,512,0.00018854742454741817,0.25,262.7438563120086,0.9998114525754526,2.0,-19.585358149999998,14.161597699999998,"[8.73783725, -19.585358149999998]",COMPLETE
52,-60.73522984999998,2026-07-21 10:28:25.691329,2026-07-21 10:33:20.993761,0 days 00:04:55.302432,128,0.3,0.003144558657428312,0.9,0.0011119212040774625,0.5,20,512,0.00040503265401152977,0.25,295.2243144539825,0.9995949673459885,2.0,-181.63780734999997,120.90257749999999,"[-181.63780734999997, 60.16734765000001]",COMPLETE
