evaluation_id,algorithm,n_episodes,seed_start,mean_reward,std_reward,median_reward,min_reward,max_reward,success_rate,mean_episode_length,mean_fuel_proxy,evaluated_at_utc
ppo_gamma_focus_008_search,PPO,20,2000,136.76243186661597,120.10611342936616,206.5919354294097,-66.29955528866654,256.66750359648813,0.65,423.2,59.57999999999989,2026-07-17T13:53:14.539085+00:00
ppo_optuna_gamma_t003_s242_robustness,PPO,30,3000,186.45793882807985,82.98255211567705,214.955531783544,-48.90156999102612,258.3084928805582,0.8666666666666667,440.1333333333333,68.57399999999977,2026-07-17T13:56:24.863949+00:00
ppo_optuna_gamma_t003_s342_robustness,PPO,30,3000,221.83572826565057,51.20593938981923,227.7110073509924,0.13368465756119,280.0253937974107,0.9333333333333332,441.3333333333333,65.64099999999989,2026-07-17T13:58:52.075603+00:00
ppo_optuna_gamma_t003_s442_robustness,PPO,30,3000,97.240939359317,142.35360140223167,185.5097779133447,-220.18928338287705,245.654731156754,0.6333333333333333,388.3333333333333,59.418000000000006,2026-07-17T14:01:26.796055+00:00
ppo_optuna_broad_t016_s242_robustness,PPO,30,3000,217.20960282685527,77.45925731623825,240.1174708554709,-36.244001379978215,281.0594445512518,0.9,355.6333333333333,52.36899999999995,2026-07-17T14:03:52.687788+00:00
ppo_optuna_broad_t016_s342_robustness,PPO,30,3000,260.32578784669727,44.766201744622514,272.2745070842707,62.95157158201639,301.3611082019421,0.9333333333333332,277.2,36.69100000000006,2026-07-17T14:06:08.218196+00:00
ppo_optuna_broad_t016_s442_robustness,PPO,30,3000,64.47424902532225,120.01729128689333,49.59404843904544,-352.9964743713344,219.33222492938552,0.4666666666666667,747.2666666666667,116.21700000000008,2026-07-17T14:08:48.726164+00:00
ppo_optuna_gamma_t006_s242_robustness,PPO,30,3000,139.3556148313417,160.74899697550094,211.8118225879779,-324.83385281946005,272.8124557342352,0.7666666666666667,320.1666666666667,39.33500000000006,2026-07-17T14:11:27.174933+00:00
ppo_optuna_gamma_t006_s342_robustness,PPO,30,3000,233.96432498055592,43.22042614616465,240.7438638610764,28.75633940438854,286.58655268787913,0.9666666666666668,424.3333333333333,63.61299999999986,2026-07-17T14:14:19.793844+00:00
ppo_optuna_gamma_t006_s442_robustness,PPO,30,3000,177.48015362595393,105.74246521328584,221.3622529690795,-31.1201639130846,283.4771375119988,0.7,364.3333333333333,38.736000000000125,2026-07-17T14:16:58.654958+00:00
ppo_optuna_tuning,PPO,50,4000,246.75369398291824,36.1539087396589,249.77350112438364,35.04780605482941,286.04677959205355,0.98,316.76,47.79599999999999,2026-07-17T14:25:02.513921+00:00
dqn_default_selection,DQN,50,5000,32.40568650949546,112.28913414713575,53.22364170923783,-260.0538957708603,222.42080736548843,0.26,851.66,133.62360000000035,2026-07-17T14:25:05.699701+00:00
ppo_default_selection,PPO,50,5000,19.720335902139176,81.61806158344393,-17.121240287945778,-90.58222452630798,223.2679848206528,0.16,896.16,154.28520000000086,2026-07-17T14:25:10.338490+00:00
ppo_gamma_0999_selection,PPO,50,5000,174.44443958558114,90.7318056392136,208.46375728439088,-82.36392655515398,265.3002460548606,0.86,516.94,78.48419999999983,2026-07-17T14:25:13.057131+00:00
ppo_lr_0001_selection,PPO,50,5000,-625.198541091811,128.6376013071599,-638.1172089071836,-839.976408229139,-230.6373699810325,0.0,771.14,144.56400000000042,2026-07-17T14:25:17.013364+00:00
ppo_nsteps_1024_selection,PPO,50,5000,-74.11954623557182,30.35203862409811,-68.16447609603179,-177.31235996585932,-23.070295788618225,0.0,982.06,175.50300000000112,2026-07-17T14:25:22.074822+00:00
ppo_gamma_extended_selection,PPO,50,5000,232.9516304807916,30.42624153246348,234.8077793460146,121.1523924135995,278.32781335358834,1.0,437.84,66.22919999999978,2026-07-17T14:25:24.364997+00:00
ppo_optuna_selection,PPO,50,5000,242.3015893790744,52.61184288004132,252.8213742881789,26.545356462854954,297.8659830982566,0.94,327.64,48.272999999999975,2026-07-17T14:25:26.103340+00:00
ppo_optuna_final_100,PPO,100,10000,249.27547310096364,48.557423570686225,258.2801624334503,-8.091577997107123,310.67355303984743,0.96,326.58,47.81039999999997,2026-07-17T14:25:33.102436+00:00
